 variable,  slope,  intercept,  r_value,  r_squared,  p_value,  std_err 
In_cloud_ice_div_S_at_3km_all_HM_on_off,0.0,0.0,0.0,0.0,1.0,0.0
In_cloud_ice_div_S_at_4km_HM_on,1.890439853942641e-08,6.537589213890259e-09,0.4815760016721578,0.23191544538654213,0.4114403228925232,1.9862866168938853e-08
In_cloud_ice_div_S_at_4km_HM_off,1.790933535395689e-08,6.111186708799228e-09,0.47508964591050035,0.2257101716513646,0.4186929019092167,1.9151158600223635e-08
In_cloud_ice_div_S_at_4km_all_HM_on_off,1.8406866946691652e-08,6.324387850322442e-09,0.4781860866342225,0.22866193345055216,0.16212637978981398,1.1952543317992344e-08
In_cloud_ice_div_S_at_5km_HM_on,0.002761608234741887,0.0011407779180273537,0.5268992411416805,0.2776228103156788,0.3616139579019333,0.0025719106721512224
In_cloud_ice_div_S_at_5km_HM_off,0.002978259850732532,0.0010171368535657884,0.47530660442199746,0.22591636820716918,0.4184498440465371,0.00318289310040498
In_cloud_ice_div_S_at_5km_all_HM_on_off,0.00286993404273721,0.0010789574149004015,0.4940984927115655,0.2441333204998409,0.14662386020793944,0.0017854019048044105
In_cloud_ice_div_S_at_6km_HM_on,0.008184213209085352,0.011609392908656185,0.8595350468568367,0.7388004967751844,0.06184676783542098,0.00280956375314616
In_cloud_ice_div_S_at_6km_HM_off,0.005252072483072857,0.001812453750436559,0.49358593734518114,0.24362707754492108,0.39808977036315357,0.005342878429313732
In_cloud_ice_div_S_at_6km_all_HM_on_off,0.006718142846079105,0.006710923387754033,0.19072157100447537,0.03637471764641514,0.5976438829460996,0.012225271645725035
In_cloud_ice_div_S_at_8km_HM_on,-0.015080505916909546,0.003979239186393492,-0.7206135756148279,0.5192839253603873,0.16964736784553625,0.00837716687665125
In_cloud_ice_div_S_at_8km_HM_off,-0.12149633715920945,-0.010188431129924725,-0.9202954299245627,0.8469436783400357,0.026686838343877303,0.029819539221041223
In_cloud_ice_div_S_at_8km_all_HM_on_off,-0.06828842153805949,-0.0031045955061043302,-0.6983433008296582,0.48768336581366256,0.024690361632540674,0.024745847828227346
In_cloud_ice_div_S_at_10km_HM_on,-1.6876387065365834,-0.11157046678886867,-0.9805777463842269,0.9615327167039692,0.00323976855999527,0.1948868675245009
In_cloud_ice_div_S_at_10km_HM_off,-4.163409523929998,-0.13135765527344234,-0.9445756310893939,0.8922231228479268,0.0155324910189324,0.8354386528988205
In_cloud_ice_div_S_at_10km_all_HM_on_off,-2.9255241152332903,-0.12146407593231667,-0.7778562741374494,0.6050603832149948,0.008068499691692474,0.8356505051374339
In_cloud_ice_div_S_at_12km_HM_on,-6.138573235709208,-0.20802859561124132,-0.9897718119888171,0.9796482398076264,0.0012398366839638391,0.5108256793411221
In_cloud_ice_div_S_at_12km_HM_off,-21.314728339611396,-0.452611683486996,-0.9531540197823827,0.9085025854273148,0.012085562389913894,3.905354857903117
In_cloud_ice_div_S_at_12km_all_HM_on_off,-13.7266507876603,-0.330320377967698,-0.7128216490395283,0.5081147033394324,0.020678826371971402,4.7749698199312105
In_cloud_ice_div_S_at_14km_HM_on,-24.472381066298187,-0.3650300071902146,-0.9818860229033507,0.9641001619729593,0.002918576171093865,2.726470266441055
