0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41
1,-20.5493103448,,,-20.83575,,,,-11.1744262295,,,-11.2879761905,,,,-8.8890123457,,,-9.5501136364,,,,-27.9225,,,-30.47,,,,-18.6373417722,,,-18.5680882353,,,,,,,,,
2,0.1wt% kaolinite,,,,,,,0.1wt% feldspar,,,,,,,1wt% feldspar,,,,,,,milliq,,,,,,,1wt% koalinite,,,,,,,,,,,,
3,glass slide,,,filter ,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,glass slide,,,filter,,,,,,,,,
43,-20.04,0.4597701149,615760.516944525,-20.69,0.5,693147.180559945,,-11.67,0.6557377049,1066351.42644989,-11.41,0.4761904762,646627.164925053,40,-9.08,0.5,693147.180559945,-9.51,0.4545454545,606135.803570316,,-29.24,0.6666666667,1098612.28866811,-31.13,0.5263157895,747214.401830221,,-18.68,0.5063291139,705886.206337375,-19.41,0.5882352941,887303.195000903,,,,,,,
44,-20.23,0.4712643678,637266.722165489,-20.74,0.5125,718464.988544235,,-11.69,0.6721311475,1115141.59061932,-11.43,0.4880952381,669616.683149751,41,-9.1,0.5125,718464.988544235,-9.62,0.4659090909,627189.212768148,,-29.25,0.6833333333,1149905.58305566,-31.14,0.5394736842,775385.278796917,,-18.7,0.5189873418,731861.692740636,-19.49,0.6029411765,923670.839171778,,,,,,,
45,-20.27,0.4827586207,659245.628884264,-20.76,0.525,744440.474947496,,-11.73,0.6885245902,1166434.88500687,-11.49,0.5,693147.180559945,42,-9.14,0.525,744440.474947496,-9.62,0.4772727273,648695.417989112,,-29.49,0.7,1203972.80432594,-31.14,0.5526315789,804372.81567017,,-18.7,0.5316455696,758529.939822797,-19.5,0.6176470588,961411.167154625,,,,,,,
46,-20.28,0.4942528736,681718.484736323,-20.78,0.5375,771108.722029658,,-11.73,0.7049180328,1220502.10627715,-11.49,0.5119047619,717244.732139006,43,-9.16,0.5375,771108.722029658,-9.65,0.4886363636,670674.324707887,,-29.61,0.7166666667,1261131.21816588,-31.18,0.5657894737,834225.778819851,,-18.73,0.5443037975,785928.914010912,-19.52,0.6323529412,1000631.88030791,,,,,,,
47,-20.38,0.5057471264,704708.002961022,-20.87,0.55,798507.696217772,,-11.84,0.7213114754,1277660.5201171,-11.53,0.5238095238,741937.344729377,44,-9.17,0.55,798507.696217772,-9.65,0.5,693147.180559945,,-29.67,0.7333333333,1321755.83998232,-31.29,0.5789473684,864997.437486605,,-18.84,0.5569620253,814099.790977608,-19.54,0.6470588235,1041453.87482816,,,,,,,
48,-20.41,0.5172413793,728238.500371216,-20.87,0.5625,826678.573184468,,-11.87,0.737704918,1338285.14193353,-11.57,0.5357142857,767255.152713667,45,-9.19,0.5625,826678.573184468,-9.65,0.5113636364,716136.698784644,,-29.95,0.75,1386294.36111989,-31.36,0.5921052632,896746.135801185,,-18.86,0.5696202532,843087.32785086,-19.56,0.6617647059,1084013.48924696,,,,,,,
49,-20.41,0.5287356322,752336.051950276,-21.07,0.575,855666.110057721,,-11.89,0.7540983607,1402823.6630711,-11.6,0.5476190476,793230.639116928,46,-9.24,0.575,855666.110057721,-9.72,0.5227272727,739667.196194838,,-29.98,0.7666666667,1455287.23260684,-31.61,0.6052631579,929535.958624176,,-18.89,0.582278481,872940.291000542,-19.63,0.6764705882,1128465.25181779,,,,,,,
50,-20.51,0.5402298851,777028.664540648,-21.07,0.5875,885519.073207401,,-11.89,0.7704918033,1471816.53455805,-11.64,0.5595238095,819898.886199089,47,-9.24,0.5875,885519.073207401,-9.72,0.5340909091,763764.747773899,,-30.31,0.7833333333,1529395.20476056,-31.67,0.6184210526,963437.510299857,,-18.92,0.5949367089,903711.949667295,-19.7,0.6911764706,1174985.26745268,,,,,,,
51,-20.69,0.5517241379,802346.472524937,-21.22,0.6,916290.731874155,,-11.95,0.7868852459,1545924.50671178,-11.64,0.5714285714,847297.860387204,48,-9.27,0.6,916290.731874155,-9.73,0.5454545455,788457.36036427,,-30.35,0.8,1609437.9124341,-31.67,0.6315789474,998528.830111127,,-18.97,0.6075949367,935460.647981876,-19.75,0.7058823529,1223775.43162212,,,,,,,
52,-20.8,0.5632183908,828321.958928198,-21.25,0.6125,948039.430188735,,-11.99,0.8032786885,1625967.21438531,-11.69,0.5833333333,875468.7373539,49,-9.3,0.6125,948039.430188735,-9.73,0.5568181818,813775.16834856,,-30.51,0.8166666667,1696449.28942373,-31.72,0.6447368421,1034896.474282,,-19.14,0.6202531646,968250.470804866,-19.82,0.7205882353,1275068.72600967,,,,,,,
