Egypt,Egypt,Egypt,Egypt,Egypt,,Atacama milled,Atacama milled,Atacama milled,Atacama milled,,Etosha,Etosha,Etosha,Etosha,,Taklamakan,Taklamakan,Taklamakan,Taklamakan
T ©,T (K),dT (K),ns (m^2) ,dns (m^2),,T (K),dT (K),ns (m^2) ,dns (m^2),,T (K),dT (K),ns (m^2) ,dns (m^2),,T (K),dT (K),ns (m^2) ,dns (m^2)
,,,,,,256.56,0.2,17600000,5910000,,252.9,0.2,14500000,3600000,,251.17,0.2,26200000,8000000
,,,,,,256.54,0.2,17900000,6000000,,252.88,0.2,14800000,3660000,,251.16,0.2,26500000,8100000
,,,,,,256.5,0.2,18000000,6060000,,252.87,0.2,14900000,3700000,,251.14,0.2,26800000,8190000
,,,,,,256.49,0.2,18200000,6120000,,252.87,0.2,15000000,3710000,,251.14,0.2,27100000,8290000
,,,,,,256.47,0.2,18400000,6190000,,252.86,0.2,15000000,3730000,,251.11,0.2,27200000,8320000
,,,,,,256.46,0.2,18600000,6250000,,252.81,0.2,15100000,3740000,,251.11,0.2,27800000,8490000
,,,,,,256.46,0.2,18700000,6270000,,252.8,0.2,15300000,3780000,,251.07,0.2,28100000,8580000
,,,,,,256.45,0.2,18700000,6290000,,252.77,0.2,15400000,3830000,,251.03,0.2,28300000,8650000
,,,,,,256.42,0.2,19200000,6460000,,252.76,0.2,15600000,3850000,,251,0.2,28600000,8750000
,,,,,,256.41,0.2,19300000,6480000,,252.73,0.2,15700000,3880000,,250.99,0.2,28700000,8780000
,,,,,,256.38,0.2,19600000,6580000,,252.69,0.2,15700000,3900000,,250.98,0.2,29300000,8940000
,,,,,,256.37,0.2,19900000,6690000,,252.69,0.2,15800000,3930000,,250.96,0.2,29400000,8980000
,,,,,,256.32,0.2,20000000,6730000,,252.64,0.2,15900000,3940000,,250.95,0.2,29800000,9110000
,,,,,,256.32,0.2,20100000,6750000,,252.61,0.2,16000000,3950000,,250.95,0.2,29900000,9140000
,,,,,,256.32,0.2,20300000,6810000,,252.6,0.2,16200000,4010000,,250.83,0.2,30400000,9270000
,,,,,,256.31,0.2,20400000,6870000,,252.59,0.2,16400000,4070000,,250.83,0.2,30500000,9310000
,,,,,,256.29,0.2,20600000,6930000,,252.58,0.2,16600000,4110000,,250.82,0.2,30900000,9440000
,,,,,,256.26,0.2,20800000,6990000,,252.56,0.2,16700000,4130000,,250.8,0.2,31200000,9540000
,,,,,,256.26,0.2,21000000,7050000,,252.56,0.2,16900000,4200000,,250.79,0.2,31500000,9610000
,,,,,,256.25,0.2,21000000,7070000,,252.55,0.2,17100000,4240000,,250.78,0.2,31800000,9710000
,,,,,,256.21,0.2,21500000,7210000,,252.46,0.2,17200000,4260000,,250.78,0.2,32100000,9810000
