Flight/sample#,,20150823_b924_filter8_050l,,,,,,,,,,,
Total flow (litres),,,50,,,,,,,,,,
Total area (um2/cm3),,,1873.5744611893,220.4508653165,,,,,,,,,
Area for d>0.5um (um2/cm3),,,1741.8560279899,219.3748865638,,,,,,,,,
Total number (um2/cm3),,,913.7052606161,140.0249175595,,,,,,,,,
Number for d>0.5um (um2/cm3),,,212.7208334451,16.6745551556,,,,,,,,,
T,f,K,inp_air,kj,kj lower_95,kj upper_95,kj lower error,kj upper error,inp_air lower error,inp_air upper error,ns (m2) (total),ns upper error,ns lower error
-17.09,0.5263157895,740696.256409824,1.85E+04,0.7472144018,0.6191,0.9383,0.1281144018,0.1910855982,5637.7672521694,6660.6269420035,9890062.01426809,3.74E+06,3226275.72114945
-17.13,0.5438596491,778341.577700222,1.95E+04,0.7849547298,0.6345,0.9853,0.1504547298,0.2003452702,6156.8799696823,6990.0129250512,10392716.8594724,3.93E+06,3506314.05731187
-17.23,0.5614035088,817318.671426513,2.04E+04,0.824175443,0.6663,1.0097,0.157875443,0.185524557,6463.0312221058,6907.4517013435,10913154.0437474,3.90E+06,3680815.90684966
-17.33,0.5789473684,857888.071915203,2.15E+04,0.8649974375,0.6997,1.0604,0.1652974375,0.1954025625,6777.0746427641,7261.172693175,11454852.3218778,4.10E+06,3860138.42210551
-17.33,0.5964912281,900447.686333998,2.25E+04,0.9075570519,0.7347,1.1411,0.1728570519,0.2335429481,7101.7774938672,8116.0364363674,12023124.7037923,4.56E+06,4045884.74066291
-17.5,0.6140350877,944448.500516526,2.36E+04,0.9520088145,0.7716,1.1983,0.1804088145,0.2462911855,7435.7082371528,8537.1673978386,12610640.5406521,4.79E+06,4237038.40975141
-17.5,0.6315789474,990968.516151419,2.48E+04,0.9985288301,0.8102,1.2583,0.1883288301,0.2597711699,7785.4750095723,8980.4600788042,13231793.7266609,5.04E+06,4437496.93743821
-17.58,0.649122807,1039536.68001084,2.60E+04,1.0473189943,0.8509,1.3214,0.1964189943,0.2740810057,8149.0855008783,9448.5755544099,13880294.5774916,5.30E+06,4646005.90732173
-17.59,0.6666666667,1090801.76987927,2.73E+04,1.0986122887,0.8935,1.3877,0.2051122887,0.2890877113,8534.2379181833,9940.1089789018,14564805.8242789,5.58E+06,4866770.46184808
-17.73,0.6842105263,1144463.22455527,2.86E+04,1.1526795099,0.9156,1.4572,0.2370795099,0.3045204901,9293.5300893293,10451.2660440667,15281314.2579705,5.86E+06,5276150.26953895
